species;MPIAM10_1_S_Jena14;MPIAM1_2_S_MBCF11;MPIAM1_3_S_Jena148;MPIAM1_4_S_MBCF18;MPIAM2_1_S_MBCF48;MPIAM2_3_S_MBCF127;MPIAM3_1_S_MBCF66;MPIAM4_1_S_MBCF37;MPIAM4_2_S_MBCF58;MPIAM4_3_S_MBCF70;MPIAM5_1_S_MBCF10;MPIAM5_5_S_MBCF73;MPIAM5_6_S_Jena17;MPIAM6_2_S_Jena23;MPIAM7_1_S_MBCF9;MPIAM7_2_S_MBCF16;MPIAM7_3_S_MBCF27;MPIAM7_4_S_MBCF45;MPIAM7_5_S_MBCF63;MPIAM7_6_S_Jena13;MPIAM7_7_S_Jena22;MPIAM8_1_S_Jena24;MPIAM9_1_S_Jena29;MPIAW10_1_S_Jena98;MPIAW10_2_S_Jena147B;MPIAW12_1_S_MBCF129;MPIAW2_1_S_MBCF64;MPIAW4_1_S_MBCF61;MPIAW8_1_S_Jena110;MPIBM1_1_S_MBCF19;MPIBM1_3_S_MBCF49;MPIBM1_4_S_MBCF55;MPIBM5_1_S_Jena165;MPIBM6_1_S_Jena25;MPIBM6_2_S_Jena112;MPIBW1_1_S_MBCF59;MPIBW1_2_S_MBCF65;MPICM1_3_S_MBCF36;MPICM2_1_S_MBCF41;MPICM3_1_S_Jena164;MPICM4_1_S_Jena30;MPICM5_1_S_Jena111;MPICM6_1_S_MBCF54;MPICW1_1_S_MBCF50;MPICW1_2_S_Jena27;MPICW2_3_S_MBCF32;MPICW3_1_S_MBCF29;MPICW4_1_S_MBCF46;MPICW4_2_S_Jena21;MPICW4_3_S_Jena101;MPICW5_1_S_MBCF53;MPICW6_1_S_Jena16;MPICW7_1_S_Jena100;MPSAM1_2_S_MBCF15;MPSAM1_3_S_MBCF38;MPSAM1_4_S_MBCF51;MPSAM1_5_S_MBCF62;MPSAM1_7_S_Jena20;MPSAM5_2_S_Jena26;MPSAW1_4_S_MBCF17;MPSAW2_3_S_MBCF44;MPSAW2_4_S_MBCF52;MPSAW2_5_S_MBCF57;MPSAW2_6_S_MBCF69;MPSAW2_7_S_Jena11;MPSAW2_8_S_Jena19;MPSBM2_1_S_MBCF33;MPSBM4_1_S_MBCF60;MPSBM4_2_S_Jena99;MPSBW1_1_S_MBCF21;MPSBW1_3_S_MBCF42;MPSBW2_1_S_MBCF67;MPSBW2_2_S_Jena31;MPSCM3_1_S_Jena28;MPSCW1_3_S_MBCF47;MPSCW1_4_S_Jena146B;MPSCW2_1_S_MBCF68
Streptococcus intermedius;0;0;642.6838;331.30585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216.34307;1784.40837;0;0;0;0;0;1493.68385;0;0;0;0;0;241.01525;0;0;0;153.01879;0;0;0;0;0;1031.7575;0;0;8277.00601;0;378.76383;411.66756;77475.48433;219.58262;0;4340.21899;380.63422;0;1741.87726;7664.32977;1305.81712;0;2459.89305;0;16878.71077;30870.7124;6923.43823;0;0;474.72492;7885.30466;14954.07226;27464.19545;9040.28495;15828.70414;0;0;2642.38457
Prevotella jejuni;2004.57675;2442.24422;2745.87768;205.7923;0;1369.91147;0;0;0;0;85.56965;0;135.20822;5281.42556;0;0;0;0;516.34236;293.75007;0;540.30585;42449.38103;0;0;0;2102.17551;0;8913.51001;0;0;0;0;276.03377;0;0;0;182.09629;0;516.30853;0;0;0;0;0;0;0;7444.99;840.73479;0;3443.69866;2411.5868;0;0;1158.3585;2612.06161;0;1583.15523;2727.69302;36374.10072;0;9327.41315;0;0;0;508.08822;0;0;871.57501;7460.70555;0;29926.10837;43593.24122;3344.48161;3712.45209;0;9722.09992
Streptococcus sanguinis;420.60213;7551.94053;8879.53368;19930.53855;5320.77134;0;0;4736.30487;0;0;1732.98377;0;1302.6013;12131.3208;12765.15863;2196.47561;793.75079;644.00637;9696.42899;684.25619;152.19092;329.50885;0;0;0;268.05766;26560.17328;0;1358.94601;0;1102.06775;0;0;361.35951;0;1476.33521;343.42134;169.01387;234.29295;228.40634;1402.03502;0;0;0;0;0;0;0;0;0;1756.53548;604.29054;0;0;44802.37606;1212.34855;0;0;14154.64709;695.9201;0;0;0;0;0;390.39724;0;419.61071;286.61694;1683.00232;24400.15864;0;0;456.06992;378.46065;80.08981;335.67411
Streptococcus mitis;852.84126;1084.63546;7006.96613;3305.94488;0;175.40992;3039.18544;0;636.3431;5977.24399;502.91707;556.80707;707.31792;1558.13612;6368.14242;507.62307;383.17757;2946.3917;3735.5346;792.05748;610.31539;4201.3476;3704.35432;0;536.48069;27.92087;3308.73123;0;9023.57765;0;5629.39031;0;0;1052.41704;0;0;0;628.16237;1161.60607;2284.48187;0;159.14886;0;0;0;0;895.1168;530.4049;1292.46177;909.17755;4066.15595;1559.27395;0;0;23234.5315;2275.26466;18866.72711;11447.15447;9847.58558;4657.76096;0;0;0;0;0;0;0;355.43239;358.76715;39044.33922;1985.8782;0;0;3914.00221;0;0;1362.82658
Staphylococcus argenteus;0;12791.34076;0;4743.03664;0;7719.07541;5118.06305;8689.08717;2039.12467;0;0;7215.98415;7680.4294;5225.13777;289.62168;520.4592;1940.60197;2957.38497;2049.97057;1460.96147;2277.79402;0;0;324.18048;8916.59719;10126.45456;616.34484;0;497.79973;0;0;0;3468.5286;7491.86606;1140.46873;13501.001;11241.34092;0;0;0;0;0;0;14557.80739;12334.99899;0;0;0;0;0;8516.94562;1190.59244;0;0;0;0;0;0;0;0;0;691.14363;0;0;6274.80256;0;5418.19472;0;0;0;0;4088.05031;2250.70225;5528.64815;0;0;0
Schaalia odontolytica;635.67035;1149.92139;207.555;183.52249;480.15914;19238.54837;0;0;0;712.9059;0;0;467.30079;9532.72278;0;0;0;0;5559.64741;206.54148;2448.20689;1275.25347;2142.957;0;0;0;904.19216;0;9946.1551;0;0;0;0;183.69032;0;0;528.54505;209.21767;0;5175.79589;0;0;0;0;0;0;74.69122;0;0;310.31673;890.94241;1745.61962;0;0;0;0;0;776.39752;7864.05251;39172.62513;34756.70308;3740.05111;0;0;1536.19722;9818.10719;0;0;1697.48509;11158.23817;2889.82541;0;0;0;907.53924;0;682.6893
Enterococcus faecalis;0;0;0;0;0;0;0;0;0;0;0;0;0;5782.71314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.96996;0;0;0;0;0;110.15801;482.3191;0;0;8608.66099;0;0;0;0;0;6820.46138;0;45.3802;0;0;0;0;0;0;0;106218.1448;0;0;0;0;0;0;0;0;0;0;0;0;0
Bifidobacterium dentium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;207.48512;0;0;0;0;0;0;0;0;0;0;0;0;0;96642.18258;2347.14575;947.95991;1454.1965;8956.11306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14925.13264;0;0;0
Streptococcus thermophilus;0;615.48429;0;740.9786;0;0;0;0;0;0;0;0;0;0;384.85163;0;0;0;0;0;0;0;1702.4737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40062.85499;0;574.39197;0;0;3553.29949;0;0;0;0;0;357.31609;0;852.71358;445.05453;0;0;2095.48105;7133.33018;18000.64984;0;2773.83856;1366.38068;0;0;0;0;0;0;0;708.88809;0;35673.26648;0;0;0;6354.37951;0;0;0
Staphylococcus epidermidis;0;0;0;1127.11512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4005.8088;0;0;0;0;0;0;419.6524;0;0;0;0;0;0;0;23.37996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;855.85782;91.94784;1456.15948;89442.07807;0;0;0;489.57414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Propionibacterium acidifaciens;0;0;0;0;0;0;0;0;0;0;0;0;0;757.34237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1659.62111;332.79758;0;0;523.01518;0;9123.64946;14693.13823;221.73725;6282.85515;27176.69109;0;0;14721.58658;182.83586;0;0;11244.56848;721.19648;0;0;0;0;0;0;0;600.37523;0;0;0
Haemophilus parainfluenzae;2111.33045;0;0;0;0;0;0;0;2975.84466;9274.38231;0;0;0;0;0;0;0;0;0;0;0;5680.60204;243.93549;0;0;0;547.43583;0;12163.23087;0;0;0;0;4799.02419;4901.08891;0;0;46.16835;0;1162.22384;0;0;0;0;0;0;0;0;0;0;70.55451;136.65996;0;0;7582.88882;8145.7599;0;6581.36812;13851.03785;0;0;0;0;0;0;0;0;0;480.8678;2302.58303;0;0;2231.20904;0;0;0;1338.57975
Lactobacillus gasseri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240.64442;268.23913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;359.43493;0;0;0;0;83044.55446;216.51717;0;0;0;0;0;0;0;0;2037.75472;0;0;0;0;0;0
Streptococcus pseudopneumoniae;397.21647;614.43422;2822.10611;1375.33666;0;62.03852;0;0;300.07871;2026.55832;150.51305;0;255.1194;522.1274;2104.89857;0;0;856.83684;1423.15962;251.53717;191.27509;1636.02822;1009.10128;0;265.12468;20.67798;1220.05215;0;3681.38215;0;2024.12644;0;0;403.05011;0;0;0;208.90344;410.07272;994.73022;0;0;0;0;0;0;349.6657;0;644.48541;442.63489;1908.75448;467.07187;0;0;8334.16359;1150.19855;10349.11611;7727.23652;3917.37229;1922.90985;0;0;0;0;0;0;0;0;2981.02019;17785.58875;0;0;0;1627.42382;0;0;516.60582
